,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
8090,Quality Control Engineer,Kama Manufacturing ,1 month ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Manufacturing/Production Quality Engineering - Mechanical/Electrical Quality Control Quality Assurance Chemical Engineering Mechanical Engineering SAP Statistical Process Control
8091,Junior Accountant,Al Ahly Medical Company ,1 month ago,"Mokattam, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Accounting/Finance Accounting Business Administration business Commerce Financial Analysis Finance Microsoft Office Administration
8092,Product Manager,waffarha.com ,1 month ago,"Downtown, Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,IT/Software Development Marketing/PR/Advertising Agile business Computer Science Information Technology (IT) Management Product Management Software Development Software
8093,Interior Designer,Confidential ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,Creative/Design/Art Engineering - Other 3d max Applied Arts Arts AutoCAD Decoration Design Fine Arts Furniture
8094,Senior Interior Designer,Confidential ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,Creative/Design/Art Engineering - Other Furniture Applied Arts AutoCAD Design Creative Fine Arts Interior Design Adobe Photoshop
8095,Executive Assistant ( Fluent English Speakers Only),FlairsTech ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Operations/Management Administration Assistant administrative Communication skills Communication Executive Executive Assistant Microsoft Office
8096,Senior Full Stack Java Developer,Golden Gates  ,1 month ago,"Giza, Egypt ",Full TimeWork From Home,Experienced,4 - 10 Yrs of Exp,IT/Software Development Java RESTful API Microservices Spring Spring Boot Hibernate Vue.js Quarkus Software Development
8097,Administrative Assistant,Snapology of Egypt ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Manager,2 - 6 Yrs of Exp,Administration Customer Service/Support Operations/Management Administration Office management Management
8098,Teacher,Snapology of Egypt ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 11 Yrs of Exp,Education/Teaching Education Instructor Teaching classroom learning
8099,English teacher for an online learning academy,Diraya Academy ,1 month ago,"Cairo, Egypt ",Part TimeWork From Home,Experienced,2+ Yrs of Exp,Education/Teaching Education English Teacher English Online Learning Teacher
8100,Customer Support Representative,Vodafone International Services _VOIS ,1 month ago,"Alexandria, Egypt ",Full TimeWork From Home,Entry Level,Customer Service/Support,Customer Service VOIS _VOIS Vodafone UK Vodafone IR united kingdom Irland irish English
8101,C# developer & AI developer,arabtesting ,1 month ago,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project,Experienced,1 - 10 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Engineering - Other C# Computer Engineering Computer Science Engineering HTML MVC Software Development
8102,Graphic Designer,arabtesting ,1 month ago,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project,Experienced,2 - 10 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe Photoshop Adobe illustrator After Effects Graphic Graphic Design indesign photoshop
8103,Human Resource Coordinator,Bayt El Khebra ,1 month ago,"Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Human Resources Human Resources (HR) Personnel Recruitment Labor Law Microsoft Office
8104,Test Automation Engineer | C#,Expleo ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,IT/Software Development Computer Science automated testing Software Testing C# test automation
8105,Project Manager - Regional (Egypt - KSA),HCPA ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture IT/Software Development Project/Program Management Computer Science Engineering Information Technology (IT) Management PMP Project Project Management
