,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
4528,Trade Marketing,QARA ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Marketing/PR/Advertising Management Market Research Marketing Trading
4529,Full Stack Developer,3S Software ,19 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology MySQL MVC Information Technology (IT) JavaScript HTML5 HTML API
4530,Mechanical Maintenance Engineer,Marmonil Marble & Granite ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,males_only Installation/Maintenance/Repair Manufacturing/Production Engineering - Mechanical/Electrical Maintenance Mechanical Engineering Engineering Microsoft Office Lean Six Sigma Communication Skills Troubleshooting
4531,Senior Brand Manager,Confidential ,19 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7 - 7 Yrs of Exp,Marketing/PR/Advertising Sales/Retail Brand Management Company Branding Retail Branding Branding Brand Awareness Retail Marketing
4532,Senior Architectural lighting Designer,Electro ,19 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art AutoCAD Revit Design Electrical Engineering Dialux Lighting Relux Architecture
4533,Cost Control Manager / Engineer,Hala Consulting  ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,12 - 20 Yrs of Exp,Engineering - Construction/Civil/Architecture Cost Control Engineering
4534,cafe staff,cafe shop ,19 days ago,"Madinaty, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"Hospitality/Hotels/Food Services Cafe Hotel, Restaurant, Cafe"
4535,Automotive Sales Specialist,Confidential ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,Business Development Operations/Management Sales/Retail Sales Sales Skills Sales Target Communication Skills Computer Skills Microsoft Office Microsoft Excel
4536,Node JS & Linux Developer,Confidential ,19 days ago,"Zamalek, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Software Development Node.js Linux Mongo DB
4537,Sales Representative,Egyptian Engineering system ,19 days ago,"Siouf, Alexandria, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,males_only Sales/Retail Sales Communication negotiation skills Spare Parts Experience Sales Target sales skills
4538,"Senior Tester ""Quality Assurance Automation""",Dafa ,19 days ago,"Haram, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Quality Engineering - Telecom/Technology QA Tester Quality Control Automation Quality Assurance Agile Education
4539,Front End Developer (Vue.js),Dafa ,19 days ago,"Haram, Giza, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science front-end Information Technology (IT) JavaScript Programming SEO Software Development Web Development
4540,Factory Manager,T&D Design ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,Manufacturing/Production Factory Manager Engineering
4541,Public Relation Representative,Confidential ,19 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,females_only Administration Marketing/PR/Advertising Media/Journalism/Publishing Communication Marketing E-marketing Social Media Market Research Sales Sales Skills
4542,Secretary - Female - Zaher,El,19 days ago,"Zaher, Cairo, Egypt ",Full Time,Entry Level,2+ Yrs of Exp,Administration Customer Service/Support administrative Communication MS Office Office management Secretary word excel
4543,Accountant - Female - Zaher,El,19 days ago,"Zaher, Cairo, Egypt ",Full Time,Entry Level,2+ Yrs of Exp,females_only Accounting/Finance Accounting excel Microsoft Office ERP Account Management Payable Accounting Accounts Receivable Cost Control English
4544,Chief Technology Officer,Confidential ,19 days ago,"Giza, Giza, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,C-Level Executive/GM/Director Computer Science Information Technology (IT) Machine Learning Computer Engineering Software Programming
4545,Head of Receptionist (Females Only),Nouvel Age ,19 days ago,"Cairo, Egypt ",Full Time,Manager,1 - 3 Yrs of Exp,Administration Sales/Retail Administration Customer Care Customer Service Customer Support receptionist
4546,Quality Control Section Head,Hamza Group ,19 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,7 - 7 Yrs of Exp,Quality Chemistry Control quality Quality Assurance ERP systems SAP Science Developing ERP
4547,Senior Mechanical Technical Office And Site Engineer,Emco Tech ,19 days ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other Mechanical Engineering Mechanical technical Technical Office Engineering
4548,Financial Costing Section Head (Exp. Contracting ),AlGammal Contracting ,19 days ago,"Katameya, Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,Accounting/Finance Engineering - Construction/Civil/Architecture Cost Accounting contracting Accounting Financial Management Time Management Communication skills Finance
4549,Mechanical BIM Engineering,Emco Tech ,19 days ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other Mechanical Mechanical Engineering Engineering technical Management
4550,French Teacher - Alexandria,Egyptian English Language schools ,19 days ago,"Mandara, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Education/Teaching Arts Teaching Education french French Teaching
4551,Front Desk Admin,Webhelp ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,Administration,Customer Service/Support Administration Admin Communication Communication skills office Office management Microsoft Office excel
4552,Electrical BIM Engineer,Emco Tech ,19 days ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other Engineering Mechanical Engineering
4553,Field Sales Representative,DevoGroup ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Business Development Customer Service/Support Marketing/PR/Advertising Communication Sales fifth settlement New Cairo outside license Sales Target
4554,Electrical Maintenance Engineer,Marmonil Marble & Granite ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1+ Yrs of Exp,Installation/Maintenance/Repair Manufacturing/Production Engineering - Mechanical/Electrical Maintenance Engineering Microsoft Office Communication Skills Troubleshooting Computer Skills Electrical Engineering
4555,Investment Analyst for Business Development Division,Egytrans ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Business Development Analyst/Research Strategy/Consulting Analyst analytical Business Analysis Economics Investment Finance
4556,Export Sales Manager,Outservingplus ,19 days ago,"Badr City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Manufacturing/Production Administration business Business Administration Communication Customer Service Export Management Microsoft Office Sales
4557,Senior Site Engineer,Urban Estate ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,8 - 12 Yrs of Exp,males_only Engineering - Construction/Civil/Architecture Civil Engineering Construction Engineering
4558,Senior Interior designer,DA STUDIO ,19 days ago,"Alexandria, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art interior designer Designer Interior
4559,Senior Media Buyer,Max Muscle ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising Sales/Retail Media/Journalism/Publishing Media Sales Media Buying Social Analytics Social Media Digital Marketing Marketing Digital
4560,Waiter,Premier Services and Recruitment ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Hospitality/Hotels/Food Services Customer Service waiter waitress Food & Beverage
4561,Junior Bookkeeping,Kreston ,19 days ago,"Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Accounting/Finance Accounting Finance Financial Analysis Financial Management Commerce Bookkeeping
4562,Quality Assurance Coordinator (Customer Service),InstaShop ,19 days ago,"Katameya, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Administration Customer Service/Support Quality Customer Service Customer Support Customer Care Communication skills Quality Assurance Account Management English Teaching
4563,Senior Architerucal designer,DA STUDIO ,19 days ago,"Alexandria, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,Engineering - Construction/Civil/Architecture 3ds Max Architecture Adobe Photoshop AutoCAD Sketchup corona renderer
4564,Admin Assistant,MISC ,19 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Administration Computer Skills Microsoft Office Admin Administration Accounting Office Management
4565,Planning Specialist,Giza Seeds and Herbs ,19 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Logistics/Supply Chain Material Planning Production Supply Chain Planning
4566,Clinical Infusion Consultant,Pyramids Pharmacy  ,19 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Medical/Healthcare Nursing Medical MD Clinical
4567,Marketing Coordinator,Akhtaboot Group ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 7 Yrs of Exp,Marketing/PR/Advertising Coordinator Communication Social Media
4568,Marketing Specialist,Akhtaboot Group ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,Marketing/PR/Advertising Digital Marketing Marketing Market Research
4569,Data Entry Clerk,Confidential ,19 days ago,"New Cairo, Cairo, Egypt ",Full TimeShift Based,Entry Level,0 - 1 Yrs of Exp,Customer Service/Support Data Entry Data Customer Service computer typing skills Typing
4570,Experienced java spring developer,Yespays ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Java EE Computer Science Design Engineering Information Technology (IT) Java Java Developer JSF
4571,IT Technical Support/ Senior,Egypt University of Informatics (EUI) ,19 days ago,"New Capital, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Computer Science CCNA MCSA Technical Support ITIL English
4572,IT Specialist,Rubyred Garment ,19 days ago,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Technical Support Computer Science Information Technology (IT) Science MCSE MCSA MCITP
4573,Veterinarian,International Vet Center ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6+ Yrs of Exp,Medical/Healthcare Vet Medical Healthcare veterinarian
4574,Technical Support Agent (Call Center),Aliaict ,19 days ago,"Cairo, Egypt ",Shift BasedWork From Home,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support Communication Customer Care Customer Support IT Technical Support Customer Service Software Computer Science troubleshoot
4575,Systems Engineer,Egypt University of Informatics (EUI) ,19 days ago,"New Capital, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Software Development Engineering Computer Science SQL Integration Troubleshooting Telecom Engineering
4576,Sales Agent - Menoufya,Fawry for Banking Technology and Electronic Payments S.A.E ,19 days ago,"Shebin Alkom, Monufya, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail Customer Service FMCG Sales sales skills Sales Target
4577,Sales Agent - Sharkia,Fawry for Banking Technology and Electronic Payments S.A.E ,19 days ago,"Faqus, Sharqia, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail sales skills Communication Communication skills FMCG Sales Target
4578,Sales Agent - Damietta,Fawry for Banking Technology and Electronic Payments S.A.E ,19 days ago,"Damietta, Damietta, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail Sales FMCG Sales
4579,Manufacturing engineer,Confidential ,19 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,Creative/Design/Art Manufacturing/Production Engineering - Mechanical/Electrical Electrical Engineering Engineering AutoCAD Electrical Drawings Design Electrical Systems
4580,Secretary/Receptionist,Confidential ,19 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,Administration Customer Service/Support Secretary Office Management Admin Administration Microsoft Word Microsoft Excel Front Office Microsoft Office
4581,Marketing Executive,Hayat ,19 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Marketing/PR/Advertising Marketing Market Research
4582,Etisalat UAE VIP Customer Service Vacancy in Cairo ( Prestige ),Etisalat Egypt ,19 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 7 Yrs of Exp,Customer Service/Support Marketing/PR/Advertising Sales/Retail Customer Care Customer Service Customer Support Sales sales skills English Online Marketing
4583,Sales Agent - Gharbia,Fawry for Banking Technology and Electronic Payments S.A.E ,19 days ago,"Tanta, Gharbia, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail Sales agent sales skills Sales Target Sales FMCG
4584,HSE Lead,El Sewedy Education ,19 days ago,"New Capital, Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture Quality Engineering - Other Engineering HSE Lead auditor NEBOSH Safety
4585,Purchase Specialist (ALEX),Confidential ,19 days ago,"Agami, Alexandria, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,Purchasing/Procurement Purchasing Logistics Construction Supply Chain negotiation skills English Communication
4586,Senior Client Relations Representative,TAQA Power ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Customer Service/Support Client Relations Customer Service Communication Customer Support English
4587,Senior Software Technical Support Engineer,eVision ,19 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science SQL Oracle Microsoft SQL Networking Application Security Computer Engineering Technical Support
4588,Rooms Director,Lemonspaces ,19 days ago,"Downtown, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,Customer Service/Support Hospitality/Hotels/Food Services Hospitality rooms hotel
4589,Senior ChargeBack & Settlement Officer,Khales ,19 days ago,"Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Banking Reconciliation ChargeBack Settlement Banking Payment Solutions
4590,Senior international lawyer,Betli.shop (Modern Tech) ,20 days ago,"Cairo, Egypt ",Freelance / Project,Experienced,3 - 10 Yrs of Exp,Legal English Legal Trading
4591,ICT/ Coding Teacher - 6 of October City,Confidential ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,Education/Teaching Education ICT Computer Science Teaching Teacher UK Curriculum PGCE python JavaScript
4592,Sales manager,Betli.shop (Modern Tech) ,20 days ago,"Cairo, Egypt ",Freelance / Project,Manager,5 - 10 Yrs of Exp,Sales/Retail CRM sales skills Negotiation Sales Target
4593,Senior Bookkeeping,Kreston ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Accounting/Finance Bookkeeping Finance Accounting
4594,Talent Acquisition Specialist,Confidential ,20 days ago,"Sheraton, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,females_only Administration Human Resources English Human Resources (HR) Recruitment Recruiting Interviewing Business Administration Networking MS Office Suite
4595,costumer service,Career office ,20 days ago,"Cairo, Egypt ",Full TimeShift Based,Student,Customer Service/Support,costumer service Sales
4596,Site EHS Supervisor,Alstom ,20 days ago,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Telecom/Technology Engineering - Mechanical/Electrical Engineering - Oil & Gas/Energy Engineering EHS OSHA NEBOSH Safety
4597,Remote e-marketing,Confidential ,20 days ago,"Washington, D.C., United States ",Part TimeFreelance / ProjectWork From Home,Entry Level,Customer Service/Support,Marketing/PR/Advertising Training/Instructor Arabic Communication skills E-Marketing Marketing social Social Media Digital Marketing
4598,EHS & Admin Specialist,Sun Pharma ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,Administration Pharmaceutical EHS Health and Safety Pharmacy
4599,Technical Writer,ZINAD IT ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Writing/Editorial IT/Software Development Engineering - Telecom/Technology Presentation Presentation Skills English Engineering Technical Writing Writing Content
4600,Warehouse Coordinator,Unitech ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,Manufacturing/Production Warehouse inventory
4601,HR Business Partner Beni Suef Plant,Titan Cement Egypt  ,20 days ago,"Beni Suef, Beni Suef, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Human Resources business partner Labor Law Microsoft Office
4602,Foreigner French Assistant Teacher,The Baby Academy ,20 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Education/Teaching Education Teaching Co-Teacher Assistant Teacher French French Teaching
4603,Wheat Postharvest Consultant (Posted 13 Sept 23),Abt Associates ,20 days ago,"Dokki, Giza, Egypt ",Part Time,Experienced,7+ Yrs of Exp,R&D/Science Wheat Post Harvest TOT Small Farmers
4604,Line Sales Manager ( Dermatology ),Confidential ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,Business Development Sales/Retail Pharmaceutical Sales cosmetics Skincare Pharmaceutical line sales
4605,General Ledger Accountant,Al Borouj for Food Industries  ,20 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,Accounting/Finance Accounting ERP systems Dynamics GL Finance
4606,French Preschool Teacher - STEAMulation Hub Maadi,Innovvette for Education ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Education/Teaching Training/Instructor Early Childhood french Preschool Education children Teaching Nursery
4607,Receptionist, DAR ELTEB RADIOLOGY CENTER ,20 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Administration Medical/Healthcare receptionist Admin
4608,Quality Assurance Section Head,Stitch Trade ,20 days ago,"Moharam Bek, Alexandria, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,males_only Manufacturing/Production Quality ISO quality Quality Assurance Quality Control Six Sigma Textile Production ERP
4609,Remote Call Center Agent,Rapid Di ,20 days ago,"Aswan, Aswan, Egypt ",Full TimePart Time,Experienced,2 - 6 Yrs of Exp,females_preferred Customer Service/Support Call Center Customer Care Customer Service Customer Support Telemarketing
4610,Telesales Agent - English Account ((Fixed Morning Shifts 8 to 5 ))),Etisalat Egypt ,20 days ago,"Cairo, Egypt ",Full Time,Entry Level,0 - 10 Yrs of Exp,Customer Service/Support Sales/Retail Customer Service sales skills Sales Telesales
4611,Customer Service Representative - (( Chat Account ))),Etisalat Egypt ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 10 Yrs of Exp,Customer Service/Support Customer Service Customer Care
4612,Customer service agent / Prestige Account.,Etisalat Egypt ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Customer Service/Support Customer Service Customer Care English Fluent in English Customer Support Call Center
4613,E-Payment and Acceptance Head of Business Development,Egpay ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 1 Yrs of Exp,Banking Business Development business Business Administration Business Development Sales sales skills Sales Target
4614,IB PYP German Teacher,Uptown International School UISEgypt ,20 days ago,"Mokattam, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Education/Teaching Training/Instructor Education IB german language Literature Primary PYP Schools
4615,International Sales Representatives,Polaris mining L.L.C ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Sales/Retail Marketing Internet online Sales sales skills Sales Target
4616,Motions Designer,Mico World Limited ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,males_preferred Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe illustrator Adobe Photoshop Design Graphic Design photoshop 3D 2D
4617,Telesales Agent,Swakli Digital Events ,20 days ago,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Business Development Sales/Retail sales skills negotiation skills CRM Communication Telesales Customer Service
4618,Customer service representative (Fluent English speakers) Etisalat UAE/Elite English account.,Etisalat Egypt ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 7 Yrs of Exp,Customer Service/Support Customer Customer Care Customer Service Customer Support Call Center Customer Relations Customer Satisfaction Customer Retention Customer Operations Performance Centre
4619,Senior Accountant (Hurghada Residence),Boston Federal Financial ,20 days ago,"Hurghada, Red Sea, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Accounting/Finance Banking Accounting Software CMA CPA excel Accounting Financial Analysis Financial GAAP
4620,Architectural Engineer,Mahgoub Group ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art AutoCAD Architecture Engineering Design Communication Skills CAD Project Project Management
4621,Sales Agent - Port Said,Fawry for Banking Technology and Electronic Payments S.A.E ,20 days ago,"Port Fuad, Port Said, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail Communication skills Experience FMCG Sales sales skills
4622,Learning and Development Specialist,Helm Organization ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Business Development Business Development sales skills
4623,Sales Representative,Shiny White Dental Center  ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,females_only Customer Service/Support Marketing/PR/Advertising Sales/Retail Corporate Sales Corporate Communication Sales Target Marketing Presentation Skills sales skills
4624,Continues Process Improvement Supervisor,Nahdet Misr Publishing Group ,20 days ago,"Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Quality Quality QA Management Time Management Quality Assurance ISO 9001 Iso 45001 ISO 14001 Microsoft
4625,Stock Controller,Neisco for Modern Water Systems Production ,20 days ago,"Badr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,males_only Accounting/Finance Logistics/Supply Chain Purchasing/Procurement Stock Control Accounting Supply Chain English Inventory Management Warehousing Management
4626,Frontend Developer (React),Bydotpy ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science CSS HTML5 Information Technology (IT) JavaScript React Software Development CSS3
4627,Infrastructure Site Manager,Giza power ,20 days ago,"Housh Eissa, Beheira, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Engineering - Mechanical/Electrical Construction Management Electrical Engineering Project Project Management
4628,Personnel Specialist,Target Recruitment  & HR Solutions  ,20 days ago,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Administration Human Resources HR Hr coordinator Human Resources (HR) Human Resources Personnel Administration Business Administration Employee Relations
4629,Accounts Payable Supervisor.,BariQ ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Accounting/Finance Accounting Accounts Payable Finance
4630,Social Media Specialist,Colorglo ,20 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,Marketing/PR/Advertising Social Media Marketing
4631,Finance Executive,Copper investment  ,20 days ago,"Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,Accounting/Finance Commerce Accounting
4632,Front Office Coordinator (Fluent English Speaker),American Contracting Group LLC ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,females_only Administration Customer Service/Support Hospitality/Hotels/Food Services Front Office Admin Communication English Microsoft Office receptionist Service
4633,Mechanical / Electrical Technical Office Engineer MEP,American Contracting Group LLC ,20 days ago,"New Nozha, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other Electrical Electrical Engineering Engineering Mechanical Mechanical Engineering English engineer
4634,Civil Technical Office Engineer,American Contracting Group LLC ,20 days ago,"New Nozha, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other Civil civil 3d Civil Engineering AutoCAD Engineering Management Site
4635,Senior Accountant - Constructions / Contracting,American Contracting Group LLC ,20 days ago,"New Heliopolis, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,males_only Accounting/Finance Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical excel Construction Computer Skills MS Excel Vlookups Accounting Finance
4636,Academic manager,Egyptian Cultural Center ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,5 - 8 Yrs of Exp,Operations/Management Analyst/Research Education/Teaching Academic Management Teaching Training Operations Education business
4637,Junior Geomatics Engineer,Micro Engineering ,20 days ago,"Heliopolis, Cairo, Egypt ",Full TimeShift Based,Entry Level,0 - 2 Yrs of Exp,Engineering - Other Civil Engineering Engineering CAD gps
4638,Account Officer,Copper investment  ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,Accounting/Finance Accounting Account officer Finance
4639,Talent Acquisition Specialist,Giza Cable Industries ,20 days ago,"Giza, Giza, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,Human Resources Human Resources (HR) Recruitment Talent acquisition
4640,Gym Manager (Females only),Maxevia Corporate ,20 days ago,"Shubra, Cairo, Egypt ",Full Time,Manager,2+ Yrs of Exp,Administration Customer Service/Support Sports and Leisure Customer Care Administration Customer Service Sales Fitness
4641,Junior Software Engineer,MegaSoft ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology C++ C# .NET Java SQL Network Server Operating Systems Information Technology (IT)
4642,PROCUREMENT & OPERATIONS SPECIALIST,Minta For Trading & Agencies ,20 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Logistics/Supply Chain Operations/Management Purchasing/Procurement Purchasing Procurement Logistics Supply Chain Foreign Purchasing purchasing orders
4643,Recruitment Executive,Sina Misr For Security & Guarding ,20 days ago,"Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Administration Recruitment Microsoft Office Human Resources (HR)
4644,Asst Store Manager,Outlook ,20 days ago,"Giza, Egypt ",Full Time,Manager,2 - 5 Yrs of Exp,Sales/Retail Retail Asst Store Manager
4645,Store Manager,Outlook ,20 days ago,"Giza, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,Sales/Retail Manager Sales Retail
4646,Senior ticketing specialist,tres jolie  ,20 days ago,"Cairo, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,Tourism/Travel Travel Tourism Ticketing Ticketing Systems
4647,Accountant,GET Group,20 days ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Accounting/Finance Accounting Accountant Finance
4648,Export Specialist,Confidential ,20 days ago,"Giza, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Logistics/Supply Chain Sales/Retail Agriculture french English Logistics Microsoft Office Export Sales Supply Chain
4649,Senior Architect,Kandeel Group ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture Architecture AutoCAD Construction designing Design Drawings Engineering photoshop Residential Projects
